dense_32_1_0,4997,4652,216,216,53,53,82,82,55,55,50,50
dense_32_1_0.25,45610,42915,1664,1651,164,164,304,304,213,213,166,166
dense_32_1_0.5,89246,83767,32494,31774,2326,2326,14403,14302,14108,14038,2387,2382
dense_32_1_0.75,130325,120938,63712,59752,35079,34698,46102,44403,40478,39369,36656,35919
dense_32_1_1,178695,167508,178695,167508,169557,163936,176499,166819,176438,166790,176438,166790
dense_32_2_0,6643,6031,582,581,146,146,172,172,146,146,146,146
dense_32_2_0.25,37358,34381,6505,6198,666,666,1979,1979,702,702,673,673
dense_32_2_0.5,78535,68083,17341,16715,2201,2201,5660,5631,2495,2492,2484,2481
dense_32_2_0.75,107324,94121,31991,30923,9674,9672,11808,11773,9933,9933,9788,9788
dense_32_2_1,133908,118769,133908,118769,114682,109730,130775,118262,130122,118245,130122,118245
dense_32_3_0,3668,3332,88,88,34,34,42,42,34,34,34,34
dense_32_3_0.25,48642,44462,3085,3068,143,143,355,355,143,143,143,143
dense_32_3_0.5,76243,70331,26349,23627,207,207,10298,10148,6512,6441,400,399
dense_32_3_0.75,117715,107349,53087,49116,10483,10483,23217,22998,19495,19349,9460,9406
dense_32_3_1,160970,147984,160970,147984,147674,142274,157910,147232,157703,147200,157699,147200
dense_32_4_0,6541,5891,241,240,49,49,81,81,59,59,52,52
dense_32_4_0.25,54799,49871,13675,12529,932,932,2849,2848,2353,2353,1714,1713
dense_32_4_0.5,85266,77005,17286,15295,1612,1612,4945,4915,3027,3010,2422,2414
dense_32_4_0.75,125877,113001,63984,57946,15385,15355,43670,42120,21719,21471,21398,21150
dense_32_4_1,159447,143576,159447,143576,145976,138769,156752,143201,156259,143138,156259,143138
dense_32_5_0,4123,3799,175,172,48,48,68,68,50,50,50,50
dense_32_5_0.25,47239,43261,1601,1586,143,143,255,255,153,153,161,159
dense_32_5_0.5,85585,78861,21396,19649,1155,1155,4188,4153,1264,1258,1549,1541
dense_32_5_0.75,132483,124248,80350,76391,13977,13897,46596,46009,31401,31166,12783,12705
dense_32_5_1,170501,156900,170501,156900,160134,153169,168955,156446,168708,156400,168708,156400
dense_32_6_0,7421,6910,784,781,47,47,104,104,46,46,46,46
dense_32_6_0.25,52207,49513,9703,9647,5081,5081,6080,6077,5144,5144,5155,5155
dense_32_6_0.5,83919,76692,25906,24390,10687,10632,16497,16208,13200,12963,7812,7743
dense_32_6_0.75,131563,120669,81992,76266,62477,59686,71102,66397,67823,63291,66749,62340
dense_32_6_1,167269,154077,167269,154077,156861,149337,165908,153809,165817,153797,165811,153797
dense_32_7_0,4960,4394,266,265,77,77,99,99,80,80,90,90
dense_32_7_0.25,40404,38231,14570,14317,3344,3344,4803,4802,3421,3420,3473,3472
dense_32_7_0.5,78099,69310,23833,22904,4234,4234,7797,7775,6309,6294,5319,5308
dense_32_7_0.75,93091,81261,34033,28587,6356,6356,16011,15597,9588,9511,7761,7719
dense_32_7_1,129037,114038,129037,114038,110588,105400,126570,113639,126339,113618,126334,113618
dense_32_8_0,5304,4872,236,236,39,39,50,50,42,42,42,42
dense_32_8_0.25,51206,46846,2240,2187,90,90,258,258,75,75,103,103
dense_32_8_0.5,92577,85297,13754,13074,127,126,1804,1765,465,454,229,226
dense_32_8_0.75,134322,123918,72956,67761,35885,35470,49519,47970,43521,42434,40539,39653
dense_32_8_1,178651,165036,178651,165036,169151,162007,176871,164777,176587,164723,176584,164723
dense_32_9_0,4433,4203,190,190,32,32,35,35,39,39,32,32
dense_32_9_0.25,45253,42077,3186,3155,183,183,992,983,469,469,183,183
dense_32_9_0.5,88839,82878,21606,20945,3783,3783,6791,6761,7552,7508,2469,2461
dense_32_9_0.75,134365,124835,41496,40079,8942,8942,23662,23366,12002,11967,10565,10533
dense_32_9_1,171666,159919,171666,159919,160939,156115,169000,159571,168872,159563,168802,159545
dense_32_10_0,4655,4385,169,168,34,34,45,45,34,34,34,34
dense_32_10_0.25,46593,44071,2214,2198,73,73,215,215,76,76,71,71
dense_32_10_0.5,89756,85376,18378,18078,8001,8001,8125,8115,7518,7514,7260,7260
dense_32_10_0.75,128016,119147,42486,39271,2425,2423,18480,17329,11712,11236,4556,4509
dense_32_10_1,172565,162137,172565,162137,160922,156572,170357,161315,170229,161306,170213,161306
dense_32_11_0,7855,7181,547,547,36,36,100,100,40,40,36,36
dense_32_11_0.25,50595,44537,4188,4095,316,316,1482,1479,664,664,312,312
dense_32_11_0.5,91386,83573,23326,22749,3453,3451,7843,7826,5858,5851,5190,5183
dense_32_11_0.75,132082,119923,85213,78955,23085,23068,48310,47565,32474,32283,28729,28608
dense_32_11_1,174886,158870,174886,158870,162332,155199,170644,158451,170521,158426,170521,158426
dense_32_12_0,5075,4765,79,79,40,40,47,47,40,40,40,40
dense_32_12_0.25,50567,47916,1202,1202,46,46,151,151,52,52,55,55
dense_32_12_0.5,82584,77462,5557,5282,92,92,2488,2473,188,188,327,327
dense_32_12_0.75,121449,112193,60012,54779,21797,21552,44147,42089,34732,33056,26931,25952
dense_32_12_1,167062,155727,167062,155727,156608,151411,165323,155321,165181,155302,165181,155302
dense_32_13_0,4845,4428,183,181,38,38,45,45,38,38,38,38
dense_32_13_0.25,51704,47180,4199,4026,114,114,279,277,155,155,130,130
dense_32_13_0.5,92507,82429,31378,28704,1487,1485,4147,4055,372,369,394,391
dense_32_13_0.75,121486,107469,43592,38768,17248,17142,31178,29709,25269,24544,23766,23100
dense_32_13_1,159807,142896,159807,142896,147077,138267,157432,142540,156715,142521,156715,142521
dense_32_14_0,5889,5442,401,398,45,45,64,64,41,41,41,41
dense_32_14_0.25,40957,37334,9115,8187,121,121,558,555,159,159,121,121
dense_32_14_0.5,80901,74162,18107,17657,887,887,8138,8086,2324,2316,1055,1051
dense_32_14_0.75,117936,108802,62496,59297,27101,26982,38270,37313,32323,31845,30241,29872
dense_32_14_1,158540,145878,158540,145878,147244,141411,157315,145659,157086,145607,157085,145607
dense_32_15_0,7499,7107,680,675,48,48,83,83,64,64,48,48
dense_32_15_0.25,51285,48748,10287,10171,467,467,2191,2191,2533,2533,179,179
dense_32_15_0.5,96862,92202,32035,31058,4040,4040,9315,9296,4545,4542,3293,3290
dense_32_15_0.75,147835,139993,91994,88573,54406,54276,63308,62680,59943,59380,53595,53070
dense_32_15_1,182552,172123,182552,172123,173113,168531,180445,171654,180344,171618,180344,171618
dense_32_16_0,6303,5794,443,431,42,42,79,79,50,50,44,44
dense_32_16_0.25,51557,49175,16002,15570,432,432,5224,5204,1464,1464,354,354
dense_32_16_0.5,83830,76980,12447,11423,776,776,5455,5362,1595,1580,605,603
dense_32_16_0.75,125092,114467,61546,57154,15117,15094,41875,40665,28085,27601,16698,16366
dense_32_16_1,159190,146178,159190,146178,146096,141186,155836,145685,155143,145639,155118,145639
dense_32_17_0,6293,5718,331,326,59,59,80,80,69,69,60,60
dense_32_17_0.25,53955,48169,4923,4864,129,129,694,694,196,196,133,133
dense_32_17_0.5,80137,74213,12791,11951,1060,1060,4519,4414,3596,3531,2168,2131
dense_32_17_0.75,126037,113669,80685,73228,19010,18680,47424,43416,32124,29618,30708,28571
dense_32_17_1,169253,152899,169253,152899,158564,148983,167438,152459,167402,152445,167396,152440
dense_32_18_0,6024,5613,247,246,39,39,63,63,35,35,35,35
dense_32_18_0.25,50473,45437,4785,4717,794,794,1103,1102,696,696,326,326
dense_32_18_0.5,97180,91090,35686,33935,9950,9943,15473,15329,10856,10807,8228,8204
dense_32_18_0.75,134719,126269,80441,76966,45994,45951,53614,53050,51139,50749,47537,47296
dense_32_18_1,175828,163467,175828,163467,165182,159356,174134,163215,173869,163113,173869,163113
dense_32_19_0,5466,5077,256,256,73,73,88,88,73,73,73,73
dense_32_19_0.25,53821,50087,11627,11089,418,418,832,832,2334,2334,418,418
dense_32_19_0.5,84404,77897,18711,17871,873,873,4975,4966,2566,2564,1451,1450
dense_32_19_0.75,124800,114786,47668,44697,5476,5474,23566,23000,14160,14027,7534,7478
dense_32_19_1,163112,150679,163112,150679,152005,146300,161226,150217,161063,150183,161062,150183
dense_32_20_0,4819,4446,120,120,36,36,44,44,36,36,36,36
dense_32_20_0.25,45650,41517,2460,2430,85,85,340,336,101,101,83,83
dense_32_20_0.5,79956,73865,7519,7284,394,394,3178,3148,851,851,206,206
dense_32_20_0.75,125752,118040,81737,77191,33371,33347,65610,64408,52523,51940,33840,33525
dense_32_20_1,168503,157152,168503,157152,157050,152885,165883,156926,165612,156899,165605,156892
